Area,Beds,Baths,Toilets,Price
Ajah,4,5,5,"60,000,000"
Ajah,3,4,4,"18,000,000"
Ajah,6,7,7,"32,000,000"
Ajah,1,1,1,"45,000,000"
Ajah,4,5,5,"48,000,000"
Ajah,3,4,4,"7,500,000"
Ajah,3,4,4,"25,000,000/day"
Ajah,3,3,4,"16,000,000"
Ajah,7,7,7,"50,000,000"
Ajah,0,0,0,"6,500,000"
Ajah,3,3,0,"55,000,000"
Ajah,5,6,6,"75,000,000"
Ajah,7,7,9,"60,000,000"
Ajah,2,2,2,"6,500,000"
Ajah,0,0,0,"15,000,000"
Ajah,0,0,0,"4,500,000"
Ajah,0,0,0,"13,000,000"
Ajah,7,8,8,"19,500,000"
Ajah,0,0,0,"19,500,000"
Ajah,5,5,6,"1,000,000,000/year"
Ajah,0,0,0,"27,000,000"
Ajah,0,0,0,"7,500,000"
Ajah,0,0,0,"10,000,000"
Ajah,0,0,0,"16,500,000"
Ajah,0,0,0,"45,000,000"
Ajah,0,0,0,"65,000,000"
Ajah,3,4,4,"12,000,000"
Ajah,3,3,4,"12,000,000"
Ajah,0,0,0,"15,000,000"
Ajah,0,0,0,"25,000,000"
Ajah,0,0,0,"16,000,000"
Ajah,0,0,0,"16,000,000"
Ajah,4,5,5,"23,000,000"
Ajah,0,0,0,"12,000,000"
Ajah,0,0,0,"26,000,000"
Ajah,0,0,0,"50,000,000"
Ajah,4,5,5,"48,000,000/day"
Ajah,2,3,3,"20,000,000"
Ajah,6,7,7,"37,000,000"
Ajah,4,5,5,"57,000,000/day"
Ajah,3,3,4,"65,000,000"
Ajah,2,3,3,"7,500,000/day"
Ajah,4,5,5,"15,000,000/day"
Ajah,4,5,5,"17,000,000/day"
Ajah,3,4,4,"18,000,000/day"
Ajah,6,7,7,"22,000,000/day"
Ajah,6,7,7,"50,000,000/day"
Ajah,2,3,3,"12,000,000/day"
Ajah,4,5,5,"25,500,000/day"
Ajah,4,5,5,"45,000,000/day"
Ajah,3,4,4,"5,000,000"
Ajah,0,0,0,"4,000,000"
Ajah,3,3,3,"5,500,000"
Ajah,1,1,1,"25,000,000"
Ajah,0,0,0,"30,000,000"
Ajah,0,0,0,"440,000"
Ajah,0,0,0,"18,000,000"
Ajah,0,0,0,"12,000,000"
Ajah,0,0,0,"23,000,000"
Ajah,0,0,0,"26,000,000"
Ajah,0,0,0,"7,000,000"
Ajah,5,5,6,"370,000,000"
Ajah,0,0,0,"35,000,000"
Ajah,0,0,0,"20,000,000"
Ajah,0,0,0,"19,000,000"
Ajah,0,0,0,"20,000,000"
Ajah,0,0,0,"7,000,000"
Ajah,0,0,0,"27,000,000"
Ajah,0,0,0,"9,000,000"
Ajah,0,0,0,"23,000,000"
Ajah,0,0,0,"15,000,000"
Ajah,0,0,0,"15,000,000"
Ajah,0,0,0,"37,000,000"
Ajah,0,0,0,"33,000,000"
Ajah,0,0,0,"75,000,000"
Ajah,0,0,0,"6,000,000"
Ajah,3,3,3,"25,000,000"
Ajah,0,0,0,"45,000,000"
Ajah,0,0,0,"10,500,000"
Ajah,0,0,0,"50,000,000"
Ajah,4,4,4,"55,000,000"
Ajah,2,3,3,"25,000,000"
Ajah,6,7,8,"95,000,000"
Ajah,3,3,3,"35,000,000"
Ajah,3,3,4,"35,000,000"
Ajah,3,4,4,"50,000,000"
Ajah,4,6,6,"15,000,000/day"
Ajah,2,3,3,"25,000,000/day"
Ajah,1,1,1,"1,500,000,000"
Ajah,4,5,5,"40,000,000/day"
Ajah,5,6,6,"10,500,000/day"
Ajah,1,1,1,"200,000,000/day"
Ajah,4,5,5,"22,000,000/day"
Ajah,2,3,3,"35,000,000/day"
Ajah,5,6,6,"100,000,000/day"
Ajah,8,9,9,"50,000,000/day"
Ajah,3,4,4,"48,000,000/day"
Ajah,2,3,3,"16,000,000/day"
Ajah,3,4,4,"19,500,000"
Ajah,5,5,5,"25,000,000"
Ajah,0,0,0,"14,000,000"
Ajah,4,4,4,"13,000,000"
Ajah,0,0,0,"3,800,000"
Ajah,0,0,1,"16,000,000"
Ajah,3,4,4,"9,000,000"
Ajah,0,0,0,"16,000,000"
Ajah,0,0,0,"12,000,000"
Ajah,0,0,0,"11,500,000"
Ajah,0,0,0,"13,000,000"
Ajah,0,0,0,"70,000,000"
Ajah,0,0,0,"7,500,000"
Ajah,0,0,0,"15,000,000"
Ajah,0,0,0,"25,000,000"
Ajah,0,0,0,"50,000,000"
Ajah,0,0,0,"15,000,000"
Ajah,0,0,0,"18,000,000"
Ajah,0,0,0,"70,000,000"
Ajah,0,0,0,"45,000,000"
Ajah,0,0,0,"25,000,000"
Ajah,0,0,0,"50,000,000"
Ajah,0,0,0,"45,000,000"
Ajah,0,0,0,"15,000,000"
Ajah,0,0,0,"8,000,000"
Ajah,0,0,0,"400,000"
Ajah,4,4,5,"160,000,000"
Ajah,0,0,0,"30,000,000"
Ajah,0,0,0,"38,000,000"
Ajah,0,0,0,"40,000,000"
Ajah,0,0,0,"10,000,000"
Ajah,0,0,0,"16,000,000"
Ajah,0,0,0,"50,000,000"
Ajah,2,2,2,"37,000,000"
Ajah,2,2,2,"13,500,000"
Ajah,4,5,5,"23,000,000/day"
Ajah,6,7,7,"25,500,000/day"
Ajah,4,5,5,"65,000,000"
Ajah,4,5,5,"25,000,000/day"
Ajah,8,9,9,"35,000,000/day"
Ajah,5,6,6,"12,000,000/day"
Ajah,4,5,5,"5,000,000/day"
Ajah,0,0,0,"27,000,000"
Ajah,3,4,4,"20,000,000/day"
Ajah,6,7,7,"35,000,000/day"
Ajah,4,6,6,"60,000,000/day"
Ajah,4,4,3,"15,000,000"
Ajah,0,0,0,"2,600,000,000"
Ajah,4,4,4,"25,000,000"
Ajah,5,5,4,"22,000,000"
Ajah,0,0,0,"11,500,000"
Ajah,0,0,0,"8,000,000"
Ajah,0,0,0,"4,000,000"
Ajah,4,4,4,"15,000,000"
Ajah,0,0,0,"13,000,000"
Ajah,0,0,0,"25,000,000"
Ajah,0,0,0,"70,000,000"
Ajah,0,0,4,"18,500,000"
Ajah,0,0,0,"12,000,000"
Ajah,0,0,0,"22,000,000"
Ajah,0,0,0,"28,000,000"
Ajah,0,0,0,"37,000,000"
Ajah,0,0,0,"22,000,000"
Ajah,0,0,0,"50,000,000"
Ajah,0,0,0,"15,000,000"
Ajah,5,5,6,"50,000,000"
Ajah,0,0,0,"18,000,000"
Ajah,5,5,5,"80,000,000"
Ajah,0,0,0,"300,000,000"
Ajah,0,0,0,"14,000,000"
Ajah,0,0,0,"25,000,000"
Ajah,0,0,0,"70,000,000"
Ajah,2,2,2,"8,000,000"
Ajah,0,0,0,"40,000,000"
Ajah,4,0,0,"70,000,000"
Ajah,0,0,0,"100,000,000"
Ajah,0,0,0,"40,000,000"
Ajah,0,0,0,"25,000,000"
Ajah,6,8,8,"40,000,000"
Ajah,0,0,0,"33,000,000"
Ajah,0,0,0,"38,000,000"
Ajah,0,0,0,"200,000,000"
Ajah,0,0,0,"45,000,000"
Ajah,4,5,5,"65,000,000"
Ajah,0,0,0,"120,000,000"
Ajah,3,3,3,"55,000,000"
Ajah,4,4,5,"25,000,000"
Ajah,3,2,2,"22,000,000"
Ajah,0,0,0,"1,200,000,000"
